Category,Value,From,To,Result
Length,1000.0,Kilometer,Meter,1000000.0
Weight,1000.0,Kilogram,Gram,1000000.0
Temperature,1000.0,Celsius,Fahrenheit,1832.0
Time,1000.0,Seconds,Minutes,16.666666666666668
Data Storage,1000.0,Bytes,KB,0.9765625
Speed,100.0,m/s,km/h,360.0
Length,5000.0,Meter,Kilometer,5.0
Length,5000.0,Meter,Kilometer,5.0
Time,10.0,Seconds,Minutes,0.1666666666666666
Data Storage,1000.0,Bytes,MB,0.0009536743164062
Speed,60.0,km/h,m/s,16.666666666666668
Length,50.0,Kilometer,Meter,50000.0
Length,100.0,Mile,Kilometer,160.934
Weight,90.0,Kilogram,Gram,90000.0
Length,0.0,Meter,Foot,0.0
